author,name,material,technic,genre,style,v_size,h_size,year,price
Kovalchuk Evgeniy,Island of st. Nikolay,Canvas,Oil,Landscape,Impressionism,50,70,2012,2190
Kovalchuk Evgeniy,Tito Gardens,Canvas,Oil,Landscape,Impressionism,50,70,2012,1800
Kovalchuk Evgeniy,Old city. Roofs,Canvas,Oil,Landscape,Impressionism,70,90,2012,3730
Kovalchuk Evgeniy,Old Budva aerial view,Canvas,Oil,Landscape,Impressionism,70,90,2012,2830
Kovalchuk Evgeniy,Golden masterpiece,Canvas,Oil,Landscape,Impressionism,90,130,2012,10000
Kovalchuk Evgeniy,Golden sunset. St. Stephen’s Island,Canvas,Oil,Landscape,Impressionism,90,130,2012,10000
Kovalchuk Evgeniy,The sun strode home,Canvas,Oil,Landscape,Impressionism,70,90,2010,3860
Kovalchuk Evgeniy,Boats are resting,Canvas,Oil,Landscape,Impressionism,60,180,2009,14290
Kovalchuk Evgeniy,Montenegro St. Nicholas. Evening,Canvas,Oil,Landscape,Impressionism,80,180,2009,17140
Kovalchuk Evgeniy,Blue Montenegro,Canvas,Oil,Landscape,Impressionism,60,180,2010,14290
Kovalchuk Evgeniy,Red garden,Canvas,Oil,Landscape,Impressionism,110,110,2004,5140
Kovalchuk Evgeniy,Loneliness,Canvas,Oil,Genre painting,Realism,90,150,2017,10000
Kovalchuk Evgeniy,Crimea. Gurzuf. Noon,Canvas,Oil,Landscape,Symbolism,110,110,2011,3860
Kovalchuk Evgeniy,Lady with a fan,Canvas,Oil,Portrait,Realism,80,60,2009,2830
Kovalchuk Evgeniy,Chukchi family,Canvas,Oil,Portrait,Impressionism,110,110,2007,5140
Kovalchuk Evgeniy,Such a life,Canvas,Oil,Landscape,Symbolism,110,110,2008,5140
Kovalchuk Evgeniy,Mint evening. Budva,Canvas,Oil,Landscape,Impressionism,70,90,2011,4110
Kovalchuk Evgeniy,Wind in Oliva,Canvas,Oil,Landscape,Impressionism,70,70,2010,80000
Kovalchuk Evgeniy,Twilight in Budva,Canvas,Oil,Landscape,Impressionism,40,60,2011,2830
Kovalchuk Evgeniy,Old city. Evening,Canvas,Oil,Landscape,Impressionism,40,60,2011,2190
Kovalchuk Evgeniy,Desert women,Canvas,Oil,Landscape,Impressionism,110,110,2009,5140
Kovalchuk Evgeniy,Sleep,Canvas,Oil,Landscape,Impressionism,110,110,2009,5140
Kovalchuk Evgeniy,Second plan. Love,Canvas,Oil,Genre painting,Realism,110,110,2008,5140
Kovalchuk Evgeniy,Emerald evening. Old Budva,Canvas,Oil,Landscape,Impressionism,70,90,2007,3990
Kovalchuk Evgeniy,Working,Canvas,Oil,Portrait,Realism,70,59,2009,2140
Kovalchuk Evgeniy,Girl on red,Canvas,Oil,Nude and erotic,Realism,150,100,2008,6430
Kovalchuk Evgeniy,Silver woman or three dreams,Canvas,Oil,Nude and erotic,Realism,150,180,2015,12000
Juravlev Aleksey,Still life,Cardboard,Oil,Still life,Realism,40,60,2016,500
Juravlev Aleksey,Still Life with Jug,Canvas,Oil,Still life,Realism,50,60,2016,510
Juravlev Aleksey,Fruits on a plate,Canvas,Oil,Still life,Realism,45,55,2016,500
Juravlev Aleksey,Fruit on a drapery,Canvas,Oil,Still life,Realism,60,40,2016,500
Juravlev Aleksey,Untitled-5,paper,gouache,Abstraction,Abstract art,60,40,2017,500
Juravlev Aleksey,Untitled-4,paper,gouache,Abstraction,Abstract art,60,40,2017,500
Juravlev Aleksey,Untitled-3,paper,gouache,Abstraction,Abstract art,80,60,2017,510
Juravlev Aleksey,Untitled-2,paper,gouache,Abstraction,Abstract art,80,60,2017,510
Mihienkova Olga,Salt,Canvas,Oil,Still life,Impressionism,30,40,2017,500
Mihienkova Olga,Still life with kettle,Canvas,Oil,Still life,Impressionism,40,50,2017,510
Mihienkova Olga,Roses,Canvas,Oil,Flowers,Impressionism,60,50,2017,500
Mihienkova Olga,On the beach in spring,Canvas,Oil,Landscape,Impressionism,20,30,2017,500
Juravlev Aleksey,Untitled,paper,gouache,Abstraction,Abstract art,60,50,2017,510
Karahanyan Sose,Conversation,plywood,Oil,Nude and erotic,Expressionism,19.5,16.5,2017,510
Karahanyan Sose,Fish Creek,plywood,Oil,Nude and erotic,Expressionism,19,43.5,2017,640
Karahanyan Sose,Radiance,plywood,Oil,Nude and erotic,Expressionism,19,16,2017,510
Karahanyan Sose,Merge emotions,plywood,Oil,Nude and erotic,Expressionism,19.5,21,2017,640
Karahanyan Sose,Our wind,plywood,Oil,Nude and erotic,Expressionism,23,19.5,2017,2060
Karahanyan Sose,Closed passion,plywood,Oil,Nude and erotic,Expressionism,19.5,18.5,2017,640
Karahanyan Sose,Extreme breath,plywood,Oil,Nude and erotic,Expressionism,19.5,20,2017,640
Karahanyan Sose,Lust,plywood,Oil,Nude and erotic,Expressionism,19.5,20.3,2017,640
Predybaylo Viktoriya,City ​​noise,Керамика,Ручная,Still life,Symbolism,23,8,Unknown,500
Predybaylo Viktoriya,Sea,Керамика,Ручная,Still life,Symbolism,20,20,Unknown,500
Predybaylo Viktoriya,An ear,Керамика,Ручная,Abstraction,Symbolism,33,30,Unknown,500
Predybaylo Viktoriya,Fish in the ocean,Керамика,Ручная,Abstraction,Symbolism,43,23,Unknown,500
Predybaylo Viktoriya,Jealousy,Керамика,Ручная,Abstraction,Symbolism,43,10,Unknown,500
Predybaylo Viktoriya,Atlantes,Керамика,Ручная,Still life,Symbolism,43,10,Unknown,500
Predybaylo Viktoriya,Black only,Керамика,Ручная,Abstraction,Symbolism,23,17,Unknown,500
Predybaylo Viktoriya,Icy sea,Керамика,Ручная,Abstraction,Symbolism,18,18,Unknown,500
Predybaylo Viktoriya,Flower vase,Керамика,Ручная,Abstraction,Symbolism,35,23,Unknown,500
Predybaylo Viktoriya,Infinity,Керамика,Ручная,Abstraction,Symbolism,31,18,Unknown,500
Predybaylo Viktoriya,Flower vase,Керамика,Ручная,Still life,Symbolism,18,18,Unknown,500
Predybaylo Viktoriya,A fish,Керамика,Ручная,Still life,Symbolism,43,23,Unknown,500
Predybaylo Viktoriya,The Rose,Керамика,Ручная,Abstraction,Symbolism,18,7,Unknown,500
Predybaylo Viktoriya,Balls. triptych,Керамика,Ручная,Abstraction,Symbolism,27,27,Unknown,500
Predybaylo Viktoriya,Angel,Керамика,Ручная,Abstraction,Symbolism,43,10,Unknown,500
Maltsev Aleksandr,Prayer,Canvas,Oil,Genre painting,Abstract art,46,34,Unknown,3000
Maltsev Aleksandr,Turquoise sun,Canvas,Oil,Genre painting,Abstract art,56,42,1998,3000
Jeymova Svetlana,Conversation,Fiberboard,acrylic,Genre painting,Symbolism,55,55,2003,1110
Jeymova Svetlana,Dance,Fiberboard,acrylic,Genre painting,Symbolism,67,30,2003,1110
Jeymova Svetlana,Pierrot,Fiberboard,acrylic,Genre painting,Symbolism,60,34,2000,1170
Jeymova Svetlana,Birds,Fiberboard,acrylic,Genre painting,Symbolism,60,42,2000,1110
Jeymova Svetlana,Portrait,Fiberboard,acrylic,Portrait,Symbolism,60,33,2001,1110
Jeymova Svetlana,Reflection,Fiberboard,acrylic,Genre painting,Symbolism,22,42,2001,500
Jeymova Svetlana,Yellow on blue,Cardboard,acrylic,Flowers,Symbolism,42,60,2010,610
Jeymova Svetlana,Stained Glass,Fiberboard,acrylic,Genre painting,Symbolism,42,60,2001,920
Davydov AV,Mass,Canvas,Oil,Abstraction,Symbolism,100,80,2017,1930
Korenchuk Aleksandr,Three towers,Fiberboard,Oil,Abstraction,Symbolism,122,95,2016,3000
Korenchuk Aleksandr,Intrinsic geometry 27,Fiberboard,Oil,Abstraction,Symbolism,155,122,2017,3000
Korenchuk Aleksandr,Carousel,Fiberboard,Oil,Abstraction,Symbolism,155,122,2017,2140
Korenchuk Aleksandr,Intrinsic geometry 25,Fiberboard,Oil,Abstraction,Symbolism,122,95,2017,3000
Korenchuk Aleksandr,Intrinsic geometry 11,Fiberboard,Oil,Abstraction,Symbolism,117,92,2017,3000
Platonova Ekaterina,Man Universe,paper,acrylic,Genre painting,Symbolism,55,45,2012,
Platonova Ekaterina,Portal,paper,acrylic,Genre painting,Surrealism,53.5,74,2013,1070
Platonova Ekaterina,Parallel worlds 2,paper,acrylic,Abstraction,Abstract art,54.,74.5,2013,1070
Platonova Ekaterina,Parallel Worlds 1,paper,acrylic,Abstraction,Abstract art,55,75,2013,1070
Platonova Ekaterina,Different matter,paper,acrylic,Abstraction,Abstract art,40,46,2014,860
Platonova Ekaterina,The revival of life on Earth,paper,acrylic,Genre painting,Symbolism,56.5,40,2012,860
Platonova Ekaterina,Cycles of creation and destruction of the human being,paper,acrylic,Genre painting,Symbolism,58,42,2012,860
Halzev Nikolay,Megaliths,Cardboard,Oil,Landscape,Realism,100,100,1994,5140
Halzev Nikolay,Gurzufskiy old house,Cardboard,Oil,Landscape,Realism,40,48,Unknown,1070
Halzev Nikolay,Summer on the Volga,Cardboard,Oil,Landscape,Realism,32,31,Unknown,860
Halzev Nikolay,In the park,Cardboard,Oil,Landscape,Realism,21,29,Unknown,640
Halzev Nikolay,Autumn in Crimea,Cardboard,Oil,Landscape,Realism,33,43,Unknown,860
Halzev Nikolay,Village in Zhiguli,Cardboard,Oil,Landscape,Realism,60,71,Unknown,3000
Halzev Nikolay,Tiled roof,Cardboard,Oil,Landscape,Realism,33,50,Unknown,3430
Halzev Nikolay,Native open spaces,Cardboard,Oil,Landscape,Realism,49,79,1969,3860
Ryzhikova Tatyana,Still life with butterfly,Canvas,Oil,Flowers,Realism,60,50,2017,770
Ryzhikova Tatyana,Autumn bouquet,Canvas,Oil,Flowers,Realism,40,30,2017,500
Halzev Nikolay,Camping in the hills,Cardboard,Oil,Landscape,Realism,35,49,Unknown,1070
Halzev Nikolay,Flood,Cardboard,Oil,Landscape,Realism,36,51,Unknown,1070
Halzev Nikolay,Spring lake,Cardboard,Oil,Landscape,Realism,40,50,Unknown,1070
Halzev Nikolay,Wood,Cardboard,Oil,Landscape,Realism,25,35,Unknown,1070
Halzev Nikolay,Autumn in Crimea,Cardboard,Oil,Landscape,Realism,35,50,Unknown,2140
Halzev Nikolay,Volga Sands,Cardboard,Oil,Landscape,Realism,50,80,Unknown,3430
Halzev Nikolay,Beach Gurzuf,Cardboard,Oil,Landscape,Realism,74,56,Unknown,2790
Halzev Nikolay,Volga mounds,Fiberboard,Oil,Landscape,Realism,56,103,Unknown,4290
Halzev Nikolay,Bakhchisaray Canyons,Canvas,Oil,Landscape,Realism,80,94,Unknown,
Halzev Nikolay,Spring. Coast,Cardboard,Oil,Landscape,Realism,33,52.5,1958,
Halzev Nikolay,Forest Lake,Cardboard,Oil,Landscape,Realism,35,49,Unknown,1710
Halzev Nikolay,Yellowed vineyards,Cardboard,Oil,Landscape,Impressionism,35,50,Unknown,1630
Halzev Nikolay,Gurzufsky motive,Cardboard,Oil,Landscape,Realism,34,24,Unknown,1070
Halzev Nikolay,Cliff. etude,Cardboard,Oil,Landscape,Realism,24,35,Unknown,
Halzev Nikolay,Cranes in the distance. Etude number 147,Cardboard,Oil,Landscape,Realism,16,23,Unknown,900
Halzev Nikolay,Samara,Cardboard,Oil,Landscape,Realism,33,49,1977,1070
Halzev Nikolay,Logs on the water,Cardboard,Oil,Landscape,Realism,24,35,Unknown,
Halzev Nikolay,Poplar,Cardboard,Oil,Landscape,Realism,48,32.5,Unknown,810
Halzev Nikolay,The wind blows,Cardboard,Oil,Landscape,Realism,38,52,1978,2140
Halzev Nikolay,On the Volga,Cardboard,Oil,Landscape,Realism,24,47,Unknown,1200
Halzev Nikolay,It’s raining,Cardboard,Oil,Landscape,Realism,44,46,Unknown,1200
Halzev Nikolay,Chekhovian rock,Cardboard,Oil,Landscape,Realism,42,65,1975,3000
Halzev Nikolay,Port in,Кртон,Oil,Landscape,Realism,37,65,Unknown,2140
Halzev Nikolay,Ice runs,Cardboard,Oil,Landscape,Realism,39,66,1983,1930
Halzev Nikolay,Storm,Cardboard,Oil,Landscape,Realism,47,61,Unknown,4290
Halzev Nikolay,Crane at work,Cardboard,Oil,Landscape,Realism,43,61,Unknown,2790
Halzev Nikolay,Silence on the Volga,Cardboard,Oil,Landscape,Realism,48,74,Unknown,3390
Halzev Nikolay,Overcast in the mountains,Cardboard,Oil,Landscape,Realism,40,60,Unknown,2790
Halzev Nikolay,Foamy surf,Cardboard,Oil,Landscape,Realism,49,80,Unknown,3860
Halzev Nikolay,Rocks Adalyary,Cardboard,Oil,Landscape,Realism,73,83,Unknown,3640
Halzev Nikolay,Zhiguli gate,Fiberboard,Oil,Landscape,Realism,64,84,Unknown,3340
Halzev Nikolay,Soon the rain,Cardboard,Oil,Landscape,Realism,34,49,Unknown,
Halzev Nikolay,Fishermen,Cardboard,Oil,Landscape,Realism,50,80,Unknown,
Halzev Nikolay,Construction. trailers,Canvas,Oil,Landscape,Realism,50,70,Unknown,3000
Halzev Nikolay,The main building of VAZ,Cardboard,Oil,Landscape,Realism,50,84,Unknown,500
Halzev Nikolay,Mountain camel,Canvas,Oil,Landscape,Realism,100,110,Unknown,
Goryunova Irina,Quantum model of happiness,Canvas,Oil,Abstraction,Abstract art,100,130,2017,500
Karahanyan Sose,Emotional vibration,Дерево,"acrylic, чернила",Genre painting,Symbolism,37,34,2016,5660
Karahanyan Sose,Schizophrenia-love,Дерево,acrylic,Genre painting,Symbolism,48,35,2012,6430
Karahanyan Sose,Jesus and we,paper,Чернила,Genre painting,Symbolism,50,70,2011,12000
Solopan Olga,Wave-2,Canvas,Oil,Landscape,Realism,40,50,Unknown,500
Solopan Olga,Papaveraceous,Canvas,Oil,Flowers,Realism,30,20,Unknown,500
Karahanyan Sose,Hope,Дерево,acrylic,Nude and erotic,Symbolism,25,28,2015,7200
Karahanyan Sose,Emotions,Дерево,acrylic,Nude and erotic,Symbolism,19,19,2015,13710
Kryukov Ivan,Maki,Canvas,Oil,Flowers,Impressionism,50,70,2017,500
Kryukov Ivan,White fish upgrade,Canvas,Oil,Abstraction,Conceptual art,50,70,2017,500
Karahanyan Sose,Consciousness,Шифон,Батик,Genre painting,Symbolism,160,110,2012,12690
Karahanyan Sose,Avoid,paper,Oil,Genre painting,Symbolism,22,27,2016,4110
Karahanyan Sose,Enthusiasm,paper,Oil,Genre painting,Symbolism,27,24,2016,6430
Karahanyan Sose,Light,Дерево,"acrylic, oil",Genre painting,Symbolism,34,37,2016,7710
Karahanyan Sose,Moonlight kiss,Дерево,acrylic,Genre painting,Symbolism,19,19,2015,6430
Karahanyan Sose,Agonizing memory,Шифон,Батик,Genre painting,Symbolism,80,60,2013,10000
Karahanyan Sose,Apocalypse,Canvas,Oil,Genre painting,Symbolism,50,40,2015,3860
Karahanyan Sose,Christ is risen,paper,Чернила,Genre painting,Symbolism,71,50,2011,12000
Karahanyan Sose,Birth of Christ,paper,"Oil, чернила",Genre painting,Symbolism,78,55,2011,12000
Karahanyan Sose,Adrenaline,Дерево,"acrylic, oil",Genre painting,Symbolism,34,37,2016,3860
Karahanyan Sose,Human race,Камень,Oil,Genre painting,Symbolism,13,12,2014,3340
Karahanyan Sose,Betrayed hopes,Дерево,acrylic,Genre painting,Symbolism,28,25,2015,7200
Klimak Andrey,Morning,Canvas,Oil,Flowers,Impressionism,70,50,2016,2790
Klimak Andrey,Snails,Canvas,Oil,Animals,Symbolism,50,40,2017,1840
Klimak Andrey,Flamingo,Canvas,Oil,Animals,Impressionism,60,80,2016,4930
Klimak Andrey,Sunset,Canvas,Oil,Landscape,Impressionism,60,80,2016,5530
Klimak Andrey,Rhinoceros,Canvas,Oil,Animals,Symbolism,80,50,2017,4630
Klimak Andrey,Gold autumn,Canvas,"Oil, acrylic",Animals,Symbolism,80,60,2017,5230
Markova Tatyana,Sunny morning. peonies,Canvas,Oil,Still life,Realism,40,60,2015,1710
CHerney Viktor,Rose-2,Canvas,Oil,Flowers,Impressionism,86,50,2015,2790
Kabanova Mariel,It’s raining cats and dogs in London,Canvas,mixed,Landscape,Symbolism,35,50,2017,1290
Obruchkov Aleksandr,Sail Tuscany,Canvas,Oil,Landscape,Impressionism,30,70,2014,1160
Obruchkov Aleksandr,Harsh winter,Canvas,Oil,Landscape,Impressionism,60,70,2015,1500
Obruchkov Aleksandr,Fragment of Crimea,Canvas,Oil,Landscape,Impressionism,60,80,2013,500
Obruchkov Aleksandr,Black River. Spring,Canvas,Oil,Landscape,Impressionism,60,80,2013,1710
Obruchkov Aleksandr,Flowering moment,Canvas,Oil,Landscape,Impressionism,40,60,2015,1290
Art Simia,Regret,paper,gouache,Abstraction,Abstract art,80,60,2017,1950
Art Simia,Motion,paper,gouache,Abstraction,Abstract art,60,80,2017,1290
Art Simia,Harmony,paper,"Эмаль, gouache",Abstraction,Abstract art,80,60,2017,1800
Art Simia,Portrait man,paper,gouache,Portrait,Realism,80,60,2017,1030
Art Simia,Lady smoking,paper,gouache,Portrait,Expressionism,60,44,2017,770
Art Simia,Colors series №9,paper,gouache,Abstraction,Abstract art,60,80,2017,1800
Art Simia,Abstract lady,paper,gouache,Portrait,Expressionism,60,38,2017,500
Art Simia,Abstract icon,paper,gouache,Religion and myth,Symbolism,80,60,2017,2060
Art Simia,9 Colors,paper,gouache,Abstraction,Abstract art,80,60,2017,2230
Art Simia,4 Colors,paper,gouache,Abstraction,Abstract art,80,60,2017,2090
Samoylova Rina,Bread river,Cardboard,Oil,Landscape,Realism,50,35,2017,500
Samoylova Rina,At the well,Cardboard,Oil,Landscape,Realism,35,26,2016,500
Samoylova Rina,Golden Evening pond,Cardboard,Oil,Landscape,Realism,35,26.6,2017,500
Samoylova Rina,Pine trees on the shore,Cardboard,Oil,Landscape,Realism,50,30,2016,500
Samoylova Rina,Autumn soon,Cardboard,Oil,Landscape,Realism,50,38,2016,500
Samoylova Rina,Country house,Cardboard,Oil,Landscape,Realism,35,50,2016,500
Samoylova Rina,View from Bald Mountain,Cardboard,Oil,Landscape,Realism,26.7,36.4,2017,500
Davydov AV,Ravine. Blue,Canvas,mixed,Abstraction,Abstract art,80,60,2017,1070
Davydov AV,Mandala gold,Canvas,mixed,Abstraction,Abstract art,70,100,2017,1710
Davydov AV,Mandala. Land,Fiberboard,mixed,Abstraction,Abstract art,100,80,2017,1930
Davydov AV,Composition,Canvas,mixed,Abstraction,Abstract art,60,80,2017,500
Davydov AV,The Wishing Tree,Canvas,mixed,Abstraction,Abstract art,80,60,2017,500
Davydov AV,Etude,Canvas,mixed,Abstraction,Abstract art,60,80,2017,1070
Davydov AV,Abstraction. Red,Canvas,mixed,Abstraction,Abstract art,80,100,2017,1930
Davydov AV,Water. Land,Canvas,mixed,Abstraction,Abstract art,90,60,2017,1710
Davydov AV,Abstraction. Green,Canvas,mixed,Abstraction,Abstract art,80,60,2017,1070
Davydov AV,Abstraction. Mustard,Canvas,mixed,Abstraction,Abstract art,100,80,2017,1930
Goryachev Aleksandr,Fair under the Spasskaya,Canvas,Oil,Landscape,Impressionism,40,50,Unknown,1070
Goryachev Aleksandr,Warm autumn,Canvas,Oil,Landscape,Impressionism,40,50,Unknown,1070
Goryachev Aleksandr,Morning,Canvas,Oil,Landscape,Impressionism,45,80,Unknown,500
Goryachev Aleksandr,Syzranka,Cardboard,Oil,Landscape,Impressionism,50,70,2013,1290
Goryachev Aleksandr,Streletskaya bay,Canvas,Oil,Landscape,Impressionism,70,70,Unknown,1500
Goryachev Aleksandr,Holy spring,Canvas,Oil,Landscape,Impressionism,50,70,Unknown,500
Goryachev Aleksandr,Still life with a swimming pool,Canvas,Oil,Still life,Impressionism,40,50,Unknown,500
Goryachev Aleksandr,Still on the terrace,Canvas,Oil,Still life,Impressionism,60,50,Unknown,1070
Goryachev Aleksandr,Freezing day. Kremlin,Canvas,Oil,Landscape,Impressionism,45,35,Unknown,500
Goryachev Aleksandr,Frosty evening,Cardboard,Oil,Landscape,Impressionism,35,45,Unknown,500
Goryachev Aleksandr,Krutitskoe Compound,Canvas,Oil,Landscape,Impressionism,60,80,Unknown,4290
Goryachev Aleksandr,Red Square,Canvas,Oil,Landscape,Impressionism,30,40,2016,860
Goryachev Aleksandr,Descent to the Sea of ​​Azov,Canvas,Oil,Landscape,Impressionism,25,40,Unknown,1070
Goryachev Aleksandr,Walking along the Moskva River,Canvas,Oil,Landscape,Impressionism,25,40,2016,860
Bragin Igor,Color Dreams musical town,Canvas,Oil,Genre painting,Symbolism,65,95,2017,1930
Bragin Igor,My house,Canvas,Oil,Genre painting,Symbolism,47,77,2017,1930
Goryachev Aleksandr,Kremlin Night lights,Canvas,Oil,Landscape,Impressionism,25,40,2016,860
Goryachev Aleksandr,Moscow River,Canvas,Oil,Landscape,Impressionism,20,40,Unknown,860
Goryachev Aleksandr,Church of St. Nicholas in Pyzhah,Canvas,Oil,Landscape,Impressionism,25,40,2016,860
Goryachev Aleksandr,Spring. View from the Patriarchal bridge,Canvas,Oil,Landscape,Impressionism,60,80,Unknown,2140
Goryachev Aleksandr,Spring is coming,Canvas,Oil,Landscape,Impressionism,35,60,Unknown,1070
Goryachev Aleksandr,Spring in Novodevichy,Canvas,Oil,Landscape,Impressionism,30,40,Unknown,860
Goryachev Aleksandr,In anticipation of the holiday,Canvas,Oil,Landscape,Impressionism,40,30,Unknown,860
Goryachev Aleksandr,Birches on the Volga,Canvas,Oil,Landscape,Impressionism,35,50,Unknown,1070
Lejnikov Yuriy,"The king, the queen-2",Cardboard,Цветная,Genre painting,Realism,70,50,Unknown,750
Lejnikov Yuriy,"King, Queen 3",paper,Полиграфия,Genre painting,Realism,70,50,2017,500
Lejnikov Yuriy,At a lake,Cardboard,pastel,Landscape,Realism,50,70,1971,500
Lejnikov Yuriy,Street,paper,pastel,Landscape,Realism,29,56,1972,500
Lejnikov Yuriy,At the well,paper,"gouache, watercolor",Landscape,Realism,33,52,1973,
Lejnikov Yuriy,Happy elderly,paper,charcoal,Portrait,Realism,44,67,1971,500
Lejnikov Yuriy,Cathedral,Cardboard,Темпера,Landscape,Realism,70,50,1965,1890
Ryzhikova Tatyana,In the Peter and Paul Fortress. Views of St. Petersburg,Canvas,Oil,Landscape,Realism,50,35,2017,1290
Lejnikov Yuriy,Haymaking,paper,pastel,Genre painting,Realism,42,50,1968,500
Lejnikov Yuriy,Fishing nets in Pereslavl,paper,Сепия,Landscape,Realism,50,70,1979,710
Lejnikov Yuriy,Figure 3 Diploma,paper,charcoal,Portrait,Realism,58,41,1967,500
Lejnikov Yuriy,Figure 2 Diploma,paper,charcoal,Portrait,Realism,57,40,1967,500
Lejnikov Yuriy,An old man with a stick,paper,charcoal,Portrait,Realism,41,29,1954,1180
Lejnikov Yuriy,Portrait of a smoker metallurgist,Лежников,Монотипия,Portrait,Realism,60,45,1974,500
Lejnikov Yuriy,Portrait of a girl,paper,charcoal,Portrait,Realism,70,50,1967,500
Lejnikov Yuriy,Portrait of a girl,Лежников,Монотипия,Portrait,Realism,50,40,Unknown,500
Lejnikov Yuriy,Portrait in Profile,paper,pastel,Portrait,Realism,46.5,31.4,1978,500
Lejnikov Yuriy,Wild flowers in jug,Cardboard,watercolor,Flowers,Realism,45,33.5,1970,940
Lejnikov Yuriy,Girlfriends,paper,gouache,Portrait,Realism,60,55,1967,1180
Lejnikov Yuriy,Pereslavl,paper,pastel,Landscape,Realism,38,51,1974,500
Lejnikov Yuriy,Okolitsa-2,paper,watercolor,Landscape,Realism,51,39,1967,940
Lejnikov Yuriy,Expectation,paper,charcoal,Portrait,Realism,71.5,49,1972,1180
Lejnikov Yuriy,Clouds,paper,watercolor,Landscape,Realism,21,30,1978,500
Lejnikov Yuriy,Lunch box,Cardboard,Темпера,Genre painting,Realism,70,90,1974,2830
Lejnikov Yuriy,Model,paper,Сепия,Nude and erotic,Realism,61,41,1966,710
Lejnikov Yuriy,Sitter-3,paper,charcoal,Nude and erotic,Realism,60,48,1966,500
Lejnikov Yuriy,Sitter-2,paper,Сепия,Nude and erotic,Realism,60,44.5,1965,500
Lejnikov Yuriy,Model,paper,Сепия,Nude and erotic,Realism,49.5,38,1965,500
Lejnikov Yuriy,Haymaking,paper,Сепия,Genre painting,Realism,45,65,Unknown,1180
Lejnikov Yuriy,At a metallurgical plant. sketch,Cardboard,"Сепия, charcoal",Genre painting,Realism,80,100,Unknown,500
Lejnikov Yuriy,On the bench,paper,"pastel, gouache",Genre painting,Realism,25,36.5,1968,500
Lejnikov Yuriy,Sketch of sitting,paper,charcoal,Nude and erotic,Realism,53,30,1967,500
Lejnikov Yuriy,Sketch,paper,Сепия,Nude and erotic,Realism,37,60,1967,710
Lejnikov Yuriy,Outline naked,paper,charcoal,Nude and erotic,Realism,71,47,1965,710
Lejnikov Yuriy,Sketches,paper,Сепия,Nude and erotic,Realism,60,48,1966,710
Lejnikov Yuriy,Monastery,Cardboard,gouache,Landscape,Realism,29,40,1971,710
Lejnikov Yuriy,Model from the back,paper,charcoal,Nude and erotic,Realism,53,29,1973,500
Lejnikov Yuriy,Model 2,paper,Графит,Nude and erotic,Realism,88,52,Unknown,1410
Lejnikov Yuriy,Model,paper,Сепия,Nude and erotic,Realism,40,53,1965,710
Lejnikov Yuriy,Model (outline),paper,Сепия,Nude and erotic,Realism,60,36.5,1963,500
Lejnikov Yuriy,Masha,paper,watercolor,Portrait,Realism,30,40,1975,1180
Lejnikov Yuriy,Lily Perepelitsa,paper,charcoal,Portrait,Realism,51,37.5,1967,500
Lejnikov Yuriy,"Shack – world war – the palaces,",paper,Литография,Genre painting,Realism,70,50,19678,710
Lejnikov Yuriy,Red Army man,paper,watercolor,Portrait,Realism,29,21,1969,940
Lejnikov Yuriy,Horses at the river,paper,Темпера,Landscape,Realism,35,52,1970,1180
Lejnikov Yuriy,Boats in North Bay,Cardboard,Oil,Landscape,Realism,35.5,54.5,1965,1930
Lejnikov Yuriy,Irina,paper,Сепия,Portrait,Realism,57,49,1967,500
Lejnikov Yuriy,Belfry. Rostov Veliky,Cardboard,Темпера,Landscape,Realism,50,70,1965,1650
Lejnikov Yuriy,Reading 2,paper,penсil,Genre painting,Realism,40,50,Unknown,500
Lejnikov Yuriy,Behind the monastery walls,paper,"penсil, gouache",Landscape,Realism,32,52.5,1968,500
Lejnikov Yuriy,Milkmaid,paper,charcoal,Genre painting,Realism,31,41.5,1973,500
Lejnikov Yuriy,Grandfather and granddaughter,paper,watercolor,Portrait,Realism,45,33.5,1970,1180
Lejnikov Yuriy,Grandfather Kuzmich,Лежников,Литография,Portrait,Realism,55,30,1965,710
Lejnikov Yuriy,Grandfather,Лежников,Сепия,Portrait,Realism,Unknown,Unknown,1967,500
Lejnikov Yuriy,Girl with calf,paper,charcoal,Genre painting,Realism,28,22,1972,500
Lejnikov Yuriy,Two female figures,paper,Сангина,Nude and erotic,Realism,60,49,1966,940
Lejnikov Yuriy,Two boats at the pier on the river. Lena,paper,pastel,Landscape,Realism,40,56.5,1964,940
Lejnikov Yuriy,Head Gutsuliya,paper,penсil,Portrait,Realism,40.5,29,Unknown,500
Lejnikov Yuriy,Gateway to the temple,paper,gouache,Landscape,Realism,38,45,1970,710
Lejnikov Yuriy,Experienced Cossack,paper,charcoal,Portrait,Realism,46.5,48.5,1967,500
Lejnikov Yuriy,Market,Cardboard,Темпера,Genre painting,Realism,80,100,1979,2830
Lejnikov Yuriy,Grandma’s pumpkin,Cardboard,gouache,Genre painting,Realism,50,80,1968,1650
Gushchina Elena,Tssss,Canvas,acrylic,Portrait,Symbolism,70,40,2016,770
Gushchina Elena,Cry,Canvas,acrylic,Portrait,Expressionism,50,45,2016,640
Gushchina Elena,Metamorphosis,Canvas,acrylic,Portrait,Expressionism,50,45,2016,640
Gushchina Elena,Babe-3,Canvas,acrylic,Portrait,Expressionism,60,50,2016,770
Gushchina Elena,Babe-2,Canvas,acrylic,Portrait,Expressionism,70,50,2016,860
